Elapsed time,Abdomen_1
0,-8.8
0.001,-13.9
0.002,-18.7
0.003,-23.4
0.004,-27.9
0.005,-32.801
0.006,-38.101
0.007,-43.801
0.008,-49.301
0.009,-54.001
0.01,-57.501
0.011,-59.501
0.012,-60.401
0.013,-60.501
0.014,-60.301
0.015,-59.701
0.016,-58.901
0.017,-57.601
0.018,-55.701
0.019,-53.001
0.02,-49.401
0.021,-44.901
0.022,-39.601
0.023,-33.701
0.024,-27.8
0.025,-22.2
0.026,-17.2
0.027,-12.9
0.028,-9.4
0.029,-6.6
0.03,-4.5
0.031,-2.7
0.032,-1.1
0.033,0.7
0.034,2.7
0.035,4.6
0.036,6
0.037,6.4
0.038,5.7
0.039,4.3
0.04,2.7
0.041,1.8
0.042,2
0.043,2.9
0.044,4.1
0.045,4.7
0.046,4.5
0.047,3.5
0.048,2.3
0.049,1.4
0.05,1
0.051,1.1
0.052,1.3
0.053,1.3
0.054,1
0.055,0.7
0.056,0.5
0.057,0.6
0.058,0.7
0.059,0.7
0.06,0.4
0.061,-0.1
0.062,-0.7
0.063,-0.9
0.064,-0.5
0.065,0.1
0.066,0.8
0.067,1.1
0.068,1
0.069,0.6
0.07,0.4
0.071,0.8
0.072,1.8
0.073,3
0.074,3.9
0.075,4.2
0.076,3.6
0.077,2.6
0.078,1.5
0.079,0.7
0.08,0.3
0.081,0.2
0.082,0.3
0.083,0.4
0.084,0.4
0.085,0.3
0.086,-0.1
0.087,-0.9
0.088,-1.8
0.089,-2.5
0.09,-2.5
0.091,-1.6
0.092,0
0.093,1.5
0.094,2.3
0.095,2.3
0.096,1.4
0.097,0.3
0.098,-0.4
0.099,-0.7
0.1,-0.6
0.101,-0.4
0.102,-0.3
0.103,-0.5
0.104,-0.7
0.105,-0.8
0.106,-0.8
0.107,-0.6
0.108,-0.3
0.109,-0.2
0.11,-0.1
0.111,-0.1
0.112,0
0.113,0.1
0.114,0.3
0.115,0.5
0.116,0.8
0.117,1.3
0.118,1.7
0.119,2
0.12,2.2
0.121,2.2
0.122,2.2
0.123,2.4
0.124,2.8
0.125,3.5
0.126,4.2
0.127,4.5
0.128,4.5
0.129,4.3
0.13,4.2
0.131,4.6
0.132,5.4
0.133,6.3
0.134,6.6
0.135,5.9
0.136,4.2
0.137,2.3
0.138,0.7
0.139,0
0.14,0.2
0.141,0.7
0.142,0.6
0.143,-0.2
0.144,-1.7
0.145,-3.1
0.146,-4
0.147,-4
0.148,-3.6
0.149,-3.2
0.15,-3.3
0.151,-3.9
0.152,-4.6
0.153,-5.1
0.154,-5.4
0.155,-5.6
0.156,-5.9
0.157,-6.4
0.158,-7.1
0.159,-7.6
0.16,-7.9
0.161,-8.1
0.162,-8.6
0.163,-9.3
0.164,-10.1
0.165,-10.6
0.166,-10.5
0.167,-9.6
0.168,-8.5
0.169,-7.4
0.17,-6.7
0.171,-6.3
0.172,-5.9
0.173,-5
0.174,-3.5
0.175,-1.4
0.176,1.2
0.177,4
0.178,6.9
0.179,9.6
0.18,11.8
0.181,12.9
0.182,12.6
0.183,10.8
0.184,8.1
0.185,5.1
0.186,2.1
0.187,-0.5
0.188,-3.1
0.189,-5.9
0.19,-9.1
0.191,-12.3
0.192,-15.1
0.193,-17
0.194,-17.7
0.195,-17.4
0.196,-16.5
0.197,-15.6
0.198,-14.9
0.199,-14.8
0.2,-14.8
0.201,-14.7
0.202,-14.1
0.203,-12.9
0.204,-11.3
0.205,-9.9
0.206,-9.1
0.207,-9.2
0.208,-10
0.209,-11.1
0.21,-12
0.211,-12.7
0.212,-13.3
0.213,-14
0.214,-15
0.215,-16.2
0.216,-17.2
0.217,-17.8
0.218,-17.9
0.219,-17.7
0.22,-17.5
0.221,-17.4
0.222,-17.4
0.223,-17.3
0.224,-16.8
0.225,-16
0.226,-15.1
0.227,-14.3
0.228,-13.7
0.229,-13.1
0.23,-12.4
0.231,-11.5
0.232,-10.5
0.233,-9.8
0.234,-9.9
0.235,-10.9
0.236,-12.5
0.237,-14.2
0.238,-15.6
0.239,-16.3
0.24,-16.7
0.241,-17
0.242,-17.6
0.243,-18.6
0.244,-19.8
0.245,-20.6
0.246,-21
0.247,-20.8
0.248,-20.2
0.249,-19.5
0.25,-19.1
0.251,-19
0.252,-19.1
0.253,-19.3
0.254,-19.6
0.255,-19.8
0.256,-19.9
0.257,-19.9
0.258,-19.8
0.259,-19.5
0.26,-18.9
0.261,-17.9
0.262,-16.8
0.263,-15.6
0.264,-14.6
0.265,-13.8
0.266,-13.3
0.267,-12.9
0.268,-12.2
0.269,-11.3
0.27,-10.1
0.271,-8.9
0.272,-8.2
0.273,-8
0.274,-8.2
0.275,-8.3
0.276,-7.8
0.277,-6.5
0.278,-4.5
0.279,-2.3
0.28,-0.5
0.281,0.5
0.282,0.8
0.283,0.9
0.284,1
0.285,1.5
0.286,2.2
0.287,2.7
0.288,2.8
0.289,2.4
0.29,1.9
0.291,1.5
0.292,1.5
0.293,2.1
0.294,3.1
0.295,4.3
0.296,5.5
0.297,6.6
0.298,7.4
0.299,7.8
0.3,7.9
0.301,7.8
0.302,7.5
0.303,7.1
0.304,6.6
0.305,6
0.306,5.3
0.307,4.7
0.308,4.1
0.309,3.9
0.31,4
0.311,4.3
0.312,4.6
0.313,4.8
0.314,4.8
0.315,4.9
0.316,5.3
0.317,5.7
0.318,6.1
0.319,6.2
0.32,6
0.321,5.8
0.322,5.6
0.323,5.8
0.324,6.3
0.325,6.7
0.326,7
0.327,7.1
0.328,7
0.329,7.2
0.33,7.7
0.331,8.6
0.332,9.8
0.333,11
0.334,11.9
0.335,12.4
0.336,12.4
0.337,12
0.338,11.3
0.339,10.5
0.34,9.7
0.341,9.1
0.342,8.5
0.343,7.8
0.344,6.9
0.345,6
0.346,5.4
0.347,5.3
0.348,5.8
0.349,6.6
0.35,7.3
0.351,7.6
0.352,7.3
0.353,6.6
0.354,6
0.355,5.7
0.356,5.8
0.357,6.1
0.358,6
0.359,5.3
0.36,4.1
0.361,2.8
0.362,1.9
0.363,1.7
0.364,2
0.365,2.5
0.366,2.8
0.367,3
0.368,3
0.369,3.2
0.37,3.6
0.371,4
0.372,4.1
0.373,3.8
0.374,3.3
0.375,2.9
0.376,3
0.377,3.5
0.378,4.4
0.379,5.2
0.38,5.9
0.381,6.5
0.382,7
0.383,7.5
0.384,7.9
0.385,8
0.386,7.7
0.387,7.2
0.388,6.7
0.389,6.3
0.39,6.2
0.391,6.3
